FACTION,COMMANDER,ASSAULT OBJECTIVE,DEFENSE OBJECTIVE,NAVIGATION OBJECTIVE,FLAGSHIP,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #2,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #3,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #4,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #5,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #6,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #7,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #8,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #9,UPGRADE,UPGRADE,SHIP TOTAL,SQUADRON #1,SQUADRON #2,SQUADRON #3,SQUADRON #4,SQUADRON #5,SQUADRON #6,SQUADRON #7,SQUADRON #8,SQUADRON #9,SQUADRON #10,SQUADRON #11,SQUADRON #12,SQUADRON #13,SQUADRON #14,SQUADRON #15,SQUADRON #16,SQUADRON #17,SQUADRON #18,SQUADRON TOTAL,LIST TOTAL,
Separatist,TF-1726,Surprise Attack,Fleet in Being,Solar Corona,"Providence-class 
Carrier",Rune Haako,Thermal Shields,B2 Rocket Troopers,"Assault Proton 
Torpedoes",XI7 Turbolasers,"Intensify
Firepower",,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Tikkes,Veteran Gunners,B2 Rocket Troopers,"Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,"Recusant-class 
Light Destroyer",Nova Defiant,Shu Mai,Gunnery Team,B2 Rocket Troopers,"Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,0,396,
Republic,Bail Organa,Precision Strike,Fighter Ambush,Superior Positions,Venator 2,Tranquility,Flight Commander,Flight Controllers,Flag Bridge,Thermal Shields,"Linked Turbolaser
Towers",Mercy Mission,,,,,Pelta Medical,TB-73,Flight Commander,Projection Experts,"Bomber Command 
Center",,,,,,"Consular Armed
Cruiser",Radiant VII,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)",V-19,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,,126,398,
Rebel,Admiral Raddus,Most Wanted,Contested Outpost,Volatile Deposits,"MC80 Command
Cruiser",Home One,Expert Shield Tech,Engine Techs,"Early Warning
System",Flag Bridge,Point Defense Ion Cannons,"Intensify
Firepower",,,,,"MC75 Ordnance
Cruiser",Profundity,Walex Blissex,Ordnance Experts,"Electronic 
Countermeasures","Expanded 
Launchers",External Racks,,,,"Hammerhead
Torpedo",Ezra Bridger,Shriv Suurgav,External Racks,,,,,"GR-75 Medium
Transports",Hondo Ohnaka,Comms Net,,,,,"GR-75 Medium
Transports",Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,0,389,
Empire,Moff Jerjerrod,Advanced Gunnery,Hyperspace Assault,Infested Fields,ISD 2,Captain Brunson,Boarding Troopers,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Dual Turbolaser 
Turrets",,,,,,,Gladiator 1,Demolisher,Minister Tua,Ordnance Experts,"Electronic 
Countermeasures",External Racks,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)",TIE Fighter,TIE Fighter,TIE Fighter,,,,,,,,,,,120,400,
Empire,Moff Jerjerrod,Advanced Gunnery,Hyperspace Assault,Infested Fields,ISD 2,Captain Needa,Flight Controllers,"Expanded 
Hangar Bay","Electronic 
Countermeasures","Ion Cannon 
Batteries","Turbolaser Reroute 
Circuits",,,,,,Gladiator 1,Demolisher,Skilled First Officer,Ordnance Experts,External Racks,,,,,,"Gozanti
Cruisers",Hondo Ohnaka,"Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)",TIE Interceptor,TIE Interceptor,,,,,,,,,,,,118,399,
Empire,Grand Admiral Thrawn,Advanced Gunnery,Fire Lanes,Infested Fields,ISD 2,"Seventh Fleet Star
Destroyer",Captain Brunson,Flight Controllers,"Expanded 
Hangar Bay","Early Warning
System",Spinal Armament,,,,,,Gladiator 1,"Seventh Fleet Star
Destroyer",Projection Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)",TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Bomber,TIE Bomber,,,,,,,,,134,394,
Empire,Admiral Sloane,Most Wanted,Planetary Ion Cannon,Superior Positions,ISD 2,Captain Needa,Gunnery Team,"Reserve
Hangar Deck","Electronic 
Countermeasures",Point Defense Ion Cannons,,,,,,,"Quasar
Fire 1",Squall,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)",TIE Interceptor,TIE Interceptor,TIE Interceptor,,,,,,,,,,,129,400,
Empire,Admiral Ozzel,Advanced Gunnery,Hyperspace Assault,Infested Fields,Victory 2,Harrow,Minister Tua,Engine Techs,Veteran Gunners,"Electronic 
Countermeasures",Disposable Capacitors,"Heavy Ion
Emplacements","Quad Battery 
Turrets",,,,Gladiator 1,Demolisher,Commander Beck,Ordnance Experts,Engine Techs,External Racks,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,"Gozanti
Cruisers",Hondo Ohnaka,"Reserve
Hangar Deck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Valen Rudor)","TIE Bomber 
(Captain Jonus)","TIE Interceptor 
(Saber Squadron)",TIE Fighter,TIE Interceptor,TIE Interceptor,,,,,,,,,,,115,400,
Rebel,Admiral Ackbar,Ion Storm,"Abandoned Mining
Facility",Hyperspace Migration,"MC30c
Scout","Caitken and 
Shollan",,,,,,,,,,,CR90-A,Liberator,"Turbolaser Reroute 
Circuits","Entrapment 
Formation!",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Slicer Tools,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,0,400,
Republic,Bail Organa,Surprise Attack,Fleet Ambush,Infested Fields,Venator 2,Adi Gallia,Flight Controllers,Flag Bridge,Thermal Shields,DBY-827 Heavy Turbolasers,Mercy Mission,,,,,,Acclamator 2,Implacable,Clone Navigation Officer,Clone Gunners,Thermal Shields,External Racks,"Linked Turbolaser
Towers",,,,"Consular Armed
Cruiser",Swift Return,"Fighter Coordination 
Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)","V-19
(Kickback)",ARC-170,ARC-170,,,,,,,,,,,,,110,402,
Empire,Admiral Sloane,Precision Strike,Asteroid Tactics,Infested Fields,Raider 1,Corvus,Hondo Ohnaka,,,,,,,,,,"Quasar
Fire 1",Squall,Skilled First Officer,Flight Controllers,Boosted Comms,,,,,,"Arquitens
Command Cruiser",Centicore,Captain Needa,Engine Techs,,,,,"Gozanti
Cruisers",Comms Net,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Valen Rudor)","TIE Interceptor 
(Saber Squadron)",TIE Advanced,TIE Advanced,TIE Defender,,,,,,,,,,,134,396,
Rebel,General Rieekan,,,,"Assault Frigate
Mk2B",Raymus Antilles,Boarding Troopers,"Electronic 
Countermeasures","Dual Turbolaser 
Turrets",,,,,,,,CR90-A,Jaina's Light,Ahsoka Tano (reb),"Turbolaser Reroute 
Circuits",,,,,,,"Hammerhead
Torpedo",Ezra Bridger,Shriv Suurgav,External Racks,,,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,"Millennium Falcon 
(Lando Calrissian)","Y-wing (Dutch 
Vander)","X-wing (Wedge 
Antilles)","Shadow Caster 
(Ketsu Onyo)","X-wing (Rogue 
Squadron)","Y-wing (Gold 
Squadron)","A-wing (Green 
Squadron)",VCX-100 Freighter,,,,,,,,,,,134,400,
Separatist,Admiral Trench,Targeting Beacons,Asteroid Tactics,Infested Fields,"Recusant-class 
Support Destroyer",Patriot Fist,Tikkes,Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",XX-9 Turbolasers,,,,,,"Hardcell-class
Transport",Foreman's Labor,San Hill,Veteran Captain,Medical Team,"Bomber Command 
Center",,,,,"Hardcell-class
Battle Refit","Reserve
Hangar Deck","Dual Turbolaser 
Turrets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,"Belbullab-22
(Wat Tambor)","Vulture Fighter
(DFS-311)",Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Hyena Bomber,Hyena Bomber,Hyena Bomber,Hyena Bomber,Hyena Bomber,,,,,,,129,400,
Rebel,Krysta Agate,Advanced Gunnery,Asteroid Tactics,Infested Fields,"MC80 Battle
Cruiser",Mon Karren,Major Derlin,"Caitken and 
Shollan","Auxiliary 
Shield Teams",Point Defense Ion Cannons,Spinal Armament,"Turbolaser Reroute 
Circuits",,,,,CR90-A,Tantive IV,Ahsoka Tano (reb),"Turbolaser Reroute 
Circuits",,,,,,,"GR-75 Medium
Transports",Toryn Farr,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,"Millennium Falcon 
(Lando Calrissian)","A-wing (Tycho 
Celchu)","Moldy Crow 
(Jan Ors)","X-wing (Rogue 
Squadron)","Y-wing (Gold 
Squadron)",YT-2400,YT-2400,YT-2400,,,,,,,,,,,133,389,
Republic,Admiral Yularen,Precision Strike,"Abandoned Mining
Facility",Superior Positions,Pelta Transport,"Fighter Coordination 
Team","Electronic 
Countermeasures",Parts Resupply,,,,,,,,,Pelta Transport,Hondo Ohnaka,"Fighter Coordination 
Team","Bomber Command 
Center",,,,,,,Pelta Medical,Clone Navigation Officer,"Fighter Coordination 
Team",Boosted Comms,,,,,Pelta Medical,"Fighter Coordination 
Team","Expanded 
Hangar Bay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Ahsoka Tano)",ARC-170,ARC-170,ARC-170,ARC-170,BTL-B Y-Wing,,,,,,,,,,,134,391,
Separatist,Admiral Trench,Surprise Attack,Rift Ambush,Infested Fields,"Recusant-class 
Support Destroyer",Rune Haako,Flight Controllers,Boosted Comms,"Reserve
Hangar Deck","Dual Turbolaser 
Turrets",,,,,,,"Recusant-class 
Support Destroyer",Patriot Fist,Tikkes,Flight Controllers,Boosted Comms,"Reserve
Hangar Deck","Dual Turbolaser 
Turrets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,"Belbullab-22
(Wat Tambor)","Modified Firespray-31
(Jango Fett)","Vulture Fighter
(DFS-311)","Droid Tri-Fighter
(Phlac-Arphocc)",Vulture Fighter,Vulture Fighter,Hyena Bomber,Hyena Bomber,Hyena Bomber,Hyena Bomber,,,,,,,,,134,394,
Rebel,Admiral Ackbar,Most Wanted,Hyperspace Assault,Hyperspace Migration,"MC30c
Scout",Foresight,Lando Calrissian,"Caitken and 
Shollan","Electronic 
Countermeasures",External Racks,"Turbolaser Reroute 
Circuits",,,,,,"MC30c
Torpedo",Admonition,Expert Shield Tech,Ordnance Experts,Advanced Projectors,External Racks,H9 Turbolasers,,,,"Nebulon-B
Support",Redemption,Ahsoka Tano (reb),Projection Experts,,,,,CR90-A,Jaina's Light,Ezra Bridger,Projection Experts,"Turbolaser Reroute 
Circuits",,,"GR-75 Medium
Transports",Bright Hope,Hondo Ohnaka,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,0,399,
Separatist,Mar Tuuk,Most Wanted,Contested Outpost,Infested Fields,"Providence-class 
Carrier",Invincible,Rune Haako,Thermal Shields,"Electronic 
Countermeasures","Reserve
Hangar Deck",External Racks,Leading Shots,H9 Turbolasers,"Intensify
Firepower",,,"Recusant-class 
Light Destroyer",Patriot Fist,Shu Mai,Ordnance Experts,"Reserve
Hangar Deck","Assault Concussion 
Missiles",Swivel-Mount Batteries,,,,"Hardcell-class
Transport",Beast of Burden,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,Droid Tri-Fighter,Droid Tri-Fighter,Droid Tri-Fighter,Droid Tri-Fighter,,,,,,,,,,,,,,,44,394,
Empire,Moff Jerjerrod,,,,ISD 2,Chimera,Expert Shield Tech,Gunnery Team,"Early Warning
System",Point Defense Ion Cannons,XI7 Turbolasers,"Entrapment 
Formation!",,,,,ISD 2,Sovereign,Expert Shield Tech,Boarding Troopers,"Early Warning
System",Point Defense Ion Cannons,XI7 Turbolasers,,,,"Gozanti
Cruisers",Suppressor,Hondo Ohnaka,Munitions Resupply,,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,0,395,
Empire,Admiral Ozzel,Surprise Attack,Fire Lanes,Salvage Run,"Interdictor
Suppression",Interdictor,Captain Brunson,"Fighter Coordination 
Team",Proximity Mines,Point Defense Ion Cannons,Grav Shift Reroute,Targetting Scrambler,,,,,"Interdictor
Suppression",Captain Needa,"Fighter Coordination 
Team",Proximity Mines,Point Defense Ion Cannons,"G7-X Grav Well 
Projector",Targetting Scrambler,,,,"Gozanti
Cruisers",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,"TIE Defender 
(Darth Vader)","TIE Fighter 
(Valen Rudor)","JumpMaster 5000
(Tel Trevura)",YV-666 (Moralo Eval),"Lambda-class 
Shuttle","Lambda-class 
Shuttle",,,,,,,,,,,,,107,387,
Rebel,Admiral Raddus,,,,CR90-B,Major Derlin,"Electronic 
Countermeasures",Point Defense Ion Cannons,,,,,,,,,"MC75 Ordnance
Cruiser",Intel Officer,Ordnance Experts,"Electronic 
Countermeasures",External Racks,"Assault Proton 
Torpedoes",,,,,"GR-75 Medium
Transports",Bright Hope,Hondo Ohnaka,Slicer Tools,,,,,"GR-75 Medium
Transports",Ezra Bridger,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,"Millennium Falcon 
(Lando Calrissian)","Scurrg H-6 Bomber
(Malee Hurra)",A-wing,"X-wing (Rogue 
Squadron)",YT-2400,YT-2400,YT-2400,YT-2400,,,,,,,,,,,134,392,
Separatist,Admiral Trench,Most Wanted,Fleet in Being,Infested Fields,"Providence-class 
Dreadnought",Invincible,Rune Haako,Flight Controllers,"Hardened 
Bulkheads",Thermal Shields,External Racks,Leading Shots,XI7 Turbolasers,XX-9 Turbolasers,,,"Recusant-class 
Light Destroyer",Patriot Fist,Shu Mai,Veteran Gunners,"Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,,Gozanti (CIS),Tikkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,"Modified Firespray-31
(Jango Fett)","Belbullab-22
(Wat Tambor)","Droid Tri-Fighter
(Phlac-Arphocc)","Droid Tri-Fighter
(DIS-T81)",Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,91,400,
Rebel,Krysta Agate,,,,Providence (Reb),Raymus Antilles,Walex Blissex,Ordnance Experts,Boarding Troopers,"Auxiliary 
Shield Teams",Engine Techs,Flak Guns,,,,,CR90-A,Jaina's Light,Ezra Bridger,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Comms Net,,,,,"GR-75 Medium
Transports",Quantum Storm,Lando Calrissian,Slicer Tools,,,,,,,,,,,,,,,,,,,,,366,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",,,,,,,,,,,,,,,,,33,399,
Empire,Admiral Piett,Ion Storm,"Abandoned Mining
Facility",Volatile Deposits,ISD Cymoon,Sovereign,Commander Beck,Gunnery Team,"Dual Turbolaser 
Turrets",XX-9 Turbolasers,"Intensify
Firepower",,,,,,Gladiator 1,Demolisher,Skilled First Officer,Ordnance Experts,Engine Techs,"Assault Proton 
Torpedoes",,,,,"Gozanti
Cruisers",Parts Resupply,,,,,,,"Gozanti
Cruisers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","JumpMaster 5000
(Tel Trevura)","TIE Interceptor 
(Saber Squadron)","TIE Fighter 
(Black Squadron)",,,,,,,,,,,,,107,399,
Empire,Moff Jerjerrod,,,,"Star Dreadnought
Assault Prototype",Ravager,Reeva Demesne,Intel Officer,Captain Needa,Gunnery Team,"Rapid Launch 
Bays","Heavy Ion
Emplacements","Turbolaser Reroute 
Circuits","Quad Turbolaser 
Cannons",,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,"Gozanti
Cruisers",Repair Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,"TIE Bomber 
(Captain Jonus)",,,,,,,,,,,,,,,,,,16,400,
