ship_name,upgrade_name,frequency
Starhawk Battleship Mark II (150),Fire-Control Team (2),9
Starhawk Battleship Mark II (150),Flight Commander (3),14
Starhawk Battleship Mark II (150),Flight Controllers (6),91
Starhawk Battleship Mark II (150),Adar Tallon (10),24
Starhawk Battleship Mark II (150),MS-1 Ion Cannons (2),15
Starhawk Battleship Mark II (150),Point-Defense Reroute (5),7
Starhawk Battleship Mark II (150),Kyrsta Agate (20)!,425
Starhawk Battleship Mark II (150),XX-9 Turbolasers (5)!,19
Starhawk Battleship Mark II (150),Ion Cannon Batteries (5),12
Starhawk Battleship Mark II (150),Proximity Mines (4),8
Starhawk Battleship Mark II (150),Rapid Launch Bays (6),7
Starhawk Battleship Mark II (150),Entrapment Formation! (5),5
Starhawk Battleship Mark II (150),Ordnance Experts (4),10
Starhawk Battleship Mark II (150),Chart Officer (2),10
Starhawk Battleship Mark II (150),Sensor Team (5),17
Starhawk Battleship Mark II (150),Heavy Turbolaser Turrets (6)!,14
Starhawk Battleship Mark II (150),Quad Turbolaser Cannons (10),13
Starhawk Battleship Mark II (150),Hondo Ohnaka (2),8
Starhawk Battleship Mark II (150),Turbolaser Reroute Circuits (7),3
Starhawk Battleship Mark II (150),"All fighters, Follow Me! (5)",4
Starhawk Battleship Mark II (150),Heavy Fire Zone (4)!,5
Starhawk Battleship Mark II (150),Reserve Hangar Deck (3)!,13
Starhawk Battleship Mark II (150),Navigation Officer (6),10
Starhawk Battleship Mark II (150),Skilled First Officer (1),11
Starhawk Battleship Mark II (150),Sabine Wren (4),2
Starhawk Battleship Mark II (150),Veteran Gunners (5),33
Starhawk Battleship Mark II (150),Tactical Expert (6),12
Starhawk Battleship Mark II (150),Dual Turbolaser Turrets (4),4
Starhawk Battleship Mark II (150),Wing Commander (6),3
Starhawk Battleship Mark II (150),Defense Liaison (3),19
Starhawk Battleship Mark II (150),Advanced Transponder Net (5),5
Starhawk Battleship Mark II (150),Take Evasive Action! (6),1
Starhawk Battleship Mark II (150),Captain Rex (5),6
Starhawk Battleship Mark II (150),Boarding Engineers (2),5
Starhawk Battleship Mark II (150),Shields to Maximum! (6),5
Starhawk Battleship Mark II (150),Ahsoka Tano (2),26
Starhawk Battleship Mark II (150),Shriv Suurgav (6)!,2
Starhawk Battleship Mark II (150),Overload Pulse (6),5
Starhawk Battleship Mark II (150),Weapons Liaison (3),5
Starhawk Battleship Mark II (150),Jyn Erso (4),3
Starhawk Battleship Mark II (150),Cham Syndulla (5),2
Starhawk Battleship Mark II (150),Shriv Suurgav (6),1
Providence Carrier (102),Rune Haako (4),230
Providence Carrier (102),Thermal Shields (5),371
Providence Carrier (102),Intensify Firepower! (6),249
Providence Carrier (102),Reserve Hangar Deck (4),76
Providence Carrier (102),External Racks (4),206
Providence Carrier (102),Point Defense Ion Cannons (6),244
Providence Carrier (102),Quad Turbolaser Cannons (10),5
Providence Carrier (102),Jedi Hostage (3),57
Providence Carrier (102),B2 Rocket Troopers (7),72
Providence Carrier (102),Assault Concussion Missiles (5),21
Providence Carrier (102),XI7 Turbolasers (6),92
Providence Carrier (102),Tikkes (2),39
Providence Carrier (102),Hardened Bulkheads (5),4
Providence Carrier (102),Expanded Launchers (8),32
Providence Carrier (102),Heavy Turbolaser Turrets (4),11
Providence Carrier (102),Invincible (5),225
Providence Carrier (102),Reinforced Blast Doors (5),30
Providence Carrier (102),General Grievous (20),96
Providence Carrier (102),Boosted Comms (4),83
Providence Carrier (102),H9 Turbolasers (8),79
Providence Carrier (102),NK-7 Ion Cannons (6),6
Providence Carrier (102),Wat Tambor (9),39
Providence Carrier (102),Early Warning System (7),165
Providence Carrier (102),Take Evasive Action! (6),20
Providence Carrier (102),Flag Bridge (0),1
Providence Carrier (102),Shields to Maximum! (6),13
Providence Carrier (102),Dual Turbolaser Turrets (4),25
Providence Carrier (102),Electronic Countermeasures (7),43
Providence Carrier (102),Lucid Voice (6),39
Providence Carrier (102),Leading Shots (5),61
Providence Carrier (102),Reactive Gunnery (4),29
Providence Carrier (102),Flak Guns (3),37
Providence Carrier (102),Assault Proton Torpedoes (4),28
Providence Carrier (102),DBY-827 Heavy Turbolasers (3),49
Providence Carrier (102),Quad Battery Turrets (5),20
Providence Carrier (102),Entrapment Formation! (5),7
Providence Carrier (102),Ordnance Pods (3),24
Providence Carrier (102),Flight Commander (3),7
Providence Carrier (102),Enhanced Armament (10),2
Providence Carrier (102),Expanded Hangar Bay (5),17
Providence Carrier (102),Invisible-hand (8),30
Providence Carrier (102),Linked Turbolaser Towers (7),18
Providence Carrier (102),Rapid Reload (4),21
Providence Carrier (102),Hyperwave Signal Boost (3),9
Providence Carrier (102),High-Capacity Ion Turbines (6),9
Providence Carrier (102),Shu Mai (4),19
Providence Carrier (102),Flechette Torpedoes (3),2
Providence Carrier (102),Ion Cannon Batteries (5),6
Providence Carrier (102),Passel Argente (6),12
Providence Carrier (102),XX-9 Turbolasers (2),28
Providence Carrier (102),TI-99 (4),6
Providence Carrier (102),Advanced Projectors (6),9
Providence Carrier (102),Veteran Captain (2),1
Providence Carrier (102),"All fighters, Follow Me! (5)",8
Providence Carrier (102),Overload Pulse (6),4
Providence Carrier (102),Heavy Ion Emplacements (9),4
Providence Carrier (102),Damage Control Officer (3),1
Providence Carrier (102),Intel Officer (7),4
Providence Carrier (102),Rapid Launch Bays (6),11
Providence Carrier (102),Asajj Ventress (2),3
Providence Carrier (102),Quad Laser Turrets (5),6
Providence Carrier (102),San Hill (3),6
Providence Carrier (102),T-Series Tactical Droid (4),2
Providence Carrier (102),Phylon Q7 Tractor Beams (6),4
Providence Carrier (102),Swivel-Mount Batteries (8),7
Providence Carrier (102),Spinal Armament (9),3
Providence Carrier (102),Wide-Area Barrage (2),2
Providence Carrier (102),Hondo Ohnaka (2),1
Providence Carrier (102),Redundant Shields (8),2
Providence Carrier (102),Skilled First Officer (1),1
Providence Carrier (102),Chart Officer (2),2
Providence Carrier (102),Support Officer (2),1
Providence Carrier (102),MS-1 Ion Cannons (2),1
Hardcell Battle Refit (50),Reserve Hangar Deck (4),191
Hardcell Battle Refit (50),Turbolaser Reroute Circuits (7),171
Hardcell Battle Refit (50),B2 Rocket Troopers (7),315
Hardcell Battle Refit (50),Quad Battery Turrets (5),56
Hardcell Battle Refit (50),Dual Turbolaser Turrets (4),260
Hardcell Battle Refit (50),San Hill (3),49
Hardcell Battle Refit (50),Foreman's Labor (5),38
Hardcell Battle Refit (50),Beast of Burden (6),39
Hardcell Battle Refit (50),TI-99 (4),12
Hardcell Battle Refit (50),Quad Turbolaser Cannons (10),8
Hardcell Battle Refit (50),Intel Officer (7),96
Hardcell Battle Refit (50),Reinforced Blast Doors (5),58
Hardcell Battle Refit (50),Tikkes (2),9
Hardcell Battle Refit (50),Cluster Bombs (5),25
Hardcell Battle Refit (50),Electronic Countermeasures (7),32
Hardcell Battle Refit (50),Slaved Turrets (6),42
Hardcell Battle Refit (50),Early Warning System (7),29
Hardcell Battle Refit (50),Disposable Capacitors (3),2
Hardcell Battle Refit (50),Spinal Armament (9),85
Hardcell Battle Refit (50),Point-Defense Reroute (5),1
Hardcell Battle Refit (50),Redundant Shields (8),2
Hardcell Battle Refit (50),Heavy Fire Zone (2),7
Hardcell Battle Refit (50),Hondo Ohnaka (2),15
Hardcell Battle Refit (50),Shu Mai (4),3
Hardcell Battle Refit (50),Quad Laser Turrets (5),12
Hardcell Battle Refit (50),H9 Turbolasers (8),4
Hardcell Battle Refit (50),XI7 Turbolasers (6),30
Hardcell Battle Refit (50),Asajj Ventress (2),8
Hardcell Battle Refit (50),Wat Tambor (9),1
Hardcell Battle Refit (50),Rune Haako (4),3
Hardcell Battle Refit (50),Veteran Captain (2),5
Hardcell Battle Refit (50),Expert Shield Tech (5),5
Hardcell Battle Refit (50),Linked Turbolaser Towers (7),14
Hardcell Battle Refit (50),XX-9 Turbolasers (2),22
Hardcell Battle Refit (50),Chart Officer (2),8
Hardcell Battle Refit (50),Heavy Turbolaser Turrets (4),4
Hardcell Battle Refit (50),Hyperwave Signal Boost (3),4
Hardcell Battle Refit (50),General Grievous (20),1
Gozanti Cruisers (24),Ion Cannon Batteries (5),23
Gozanti Cruisers (24),Overload Pulse (6),44
Gozanti Cruisers (24),Rune Haako (4),10
Gozanti Cruisers (24),Flight Controllers (6),235
Gozanti Cruisers (24),Tikkes (2),97
Gozanti Cruisers (24),San Hill (3),107
Gozanti Cruisers (24),High-Capacity Ion Turbines (6),80
Gozanti Cruisers (24),TI-99 (4),66
Gozanti Cruisers (24),Hondo Ohnaka (2),73
Gozanti Cruisers (24),Weapons Battery Techs (4),36
Gozanti Cruisers (24),MS-1 Ion Cannons (2),18
Gozanti Cruisers (24),Heavy Ion Emplacements (9),37
Gozanti Cruisers (24),T-Series Tactical Droid (4),3
Gozanti Cruisers (24),Asajj Ventress (2),8
Gozanti Cruisers (24),NK-7 Ion Cannons (6),38
Gozanti Cruisers (24),Flight Commander (3),11
Gozanti Cruisers (24),Veteran Captain (2),4
Gozanti Cruisers (24),Ordnance Experts (4),32
Gozanti Cruisers (24),Ruthless Strategists (4),3
Gozanti Cruisers (24),Veteran Gunners (5),5
Gozanti Cruisers (24),Shu Mai (4),2
Gozanti Cruisers (24),Tactical Expert (6),1
Gozanti Cruisers (24),Chart Officer (2),1
Gozanti Cruisers (24),Wat Tambor (9),1
Gozanti Cruisers (24),Fire-Control Team (2),6
Gozanti Cruisers (24),Intel Officer (7),2
Gozanti Cruisers (24),Leading Shots (5),1
Venator II (100),Captain Brunson (9),37
Venator II (100),Ordnance Experts (4),1838
Venator II (100),Electronic Countermeasures (7),2144
Venator II (100),Rapid Reload (4),18
Venator II (100),External Racks (4),3471
Venator II (100),Linked Turbolaser Towers (7),2228
Venator II (100),Expert Shield Tech (5),902
Venator II (100),Veteran Gunners (5),384
Venator II (100),SPHA-T (7),2058
Venator II (100),Thermal Shields (5),5344
Venator II (100),XI7 Turbolasers (6),1704
Venator II (100),Rapid Launch Bays (6),308
Venator II (100),Expanded Launchers (8),186
Venator II (100),DBY-827 Heavy Turbolasers (3),2532
Venator II (100),Tranquility (7),1556
Venator II (100),Weapons Liaison (3),22
Venator II (100),Clone Gunners (4),501
Venator II (100),Reactive Gunnery (4),404
Venator II (100),Resolute (4),116
Venator II (100),Clone Captain Silver (4),685
Venator II (100),Assault Concussion Missiles (5),482
Venator II (100),Flight Commander (3),601
Venator II (100),Flight Controllers (6),2156
Venator II (100),Flag Bridge (0),747
Venator II (100),Mercy Mission (5),50
Venator II (100),Ahsoka Tano (6),371
Venator II (100),Hyperspace Rings (3),302
Venator II (100),Clone Captain Zak (5),439
Venator II (100),XX-9 Turbolasers (5)!,126
Venator II (100),Clone Navigation Officer (4),861
Venator II (100),XX-9 Turbolasers (2),51
Venator II (100),Adi GAllia (3),545
Venator II (100),Flak Guns (3),1526
Venator II (100),Governor Pryce (6),17
Venator II (100),Assault Proton Torpedoes (4),1084
Venator II (100),Heavy Turbolaser Turrets (4),12
Venator II (100),Boosted Comms (4),1141
Venator II (100),Reeva Demesne (4),205
Venator II (100),Early Warning System (7),207
Venator II (100),Ordnance Pods (3),1780
Venator II (100),Spinal Armament (9),98
Venator II (100),Clone Commander Wolffe (6),165
Venator II (100),Expanded Hangar Bay (5),389
Venator II (100),Local Fire Control (4),2090
Venator II (100),Emperor Palpatine (3),415
Venator II (100),Intel Officer (7),437
Venator II (100),Captain Needa (2),277
Venator II (100),Admiral Ozzel (20),74
Venator II (100),Chart Officer (2),45
Venator II (100),Skilled First Officer (1),237
Venator II (100),Admiral Titus (2),15
Venator II (100),Boarding Troopers (3),174
Venator II (100),Barriss Offee (6),138
Venator II (100),Advanced Transponder Net (5),28
Venator II (100),Triumphant (5),250
Venator II (100),Expanded Launchers (13)!,551
Venator II (100),Gunnery Team (7),191
Venator II (100),Ruthless Strategists (4),487
Venator II (100),Taskmaster Grint (5),11
Venator II (100),Reinforced Blast Doors (5),335
Venator II (100),Flechette Torpedoes (3),172
Venator II (100),Wing Commander (6),59
Venator II (100),Swivel-Mount Batteries (8),95
Venator II (100),Agent Kallus (3),147
Venator II (100),Redundant Shields (8),55
Venator II (100),Darth Vader (4),1
Venator II (100),Hondo Ohnaka (2),71
Venator II (100),Fire-Control Team (2),83
Venator II (100),Sensor Team (5),65
Venator II (100),Seventh Fleet Star Destroyer (5),243
Venator II (100),Turbolaser Reroute Circuits (7),44
Venator II (100),Mercy Mission (0),629
Venator II (100),Reserve Hangar Deck (4),6
Venator II (100),Gunnery Chief Varnillian (6),38
Venator II (100),Quad Laser Turrets (5),17
Venator II (100),Commander Vanto (7),43
Venator II (100),Quad Battery Turrets (5),66
Venator II (100),Admiral Ozzel (2),32
Venator II (100),Quad Turbolaser Cannons (10),15
Venator II (100),Resolute (6)!,833
Venator II (100),Enhanced Armament (10),31
Venator II (100),Veteran Captain (2),9
Venator II (100),Phylon Q7 Tractor Beams (6),12
Venator II (100),Governor Pryce (7)!,74
Venator II (100),Rapid Reload (8)!,69
Venator II (100),Heavy Turbolaser Turrets (6)!,87
Venator II (100),Admiral Montferrat (5),5
Venator II (100),Wide-Area Barrage (2),62
Venator II (100),Heavy Fire Zone (4)!,24
Venator II (100),H9 Turbolasers (8),100
Venator II (100),Advanced Projectors (6),84
Venator II (100),Hot Landing (3),20
Venator II (100),Dual Turbolaser Turrets (5)!,26
Venator II (100),Wulff Yularen (7),28
Venator II (100),Proximity Mines (4),5
Venator II (100),Weapons Battery Techs (4),7
Venator II (100),"All fighters, Follow Me! (5)",28
Venator II (100),Weapons Battery Techs (5)!,45
Venator II (100),Commander Woldar (4),12
Venator II (100),Reserve Hangar Deck (3)!,57
Venator II (100),Tranquility (3)!,2250
Venator II (100),Veteran Captain (3)!,27
Venator II (100),Damage Control Officer (5)!,37
Venator II (100),General Romodi (20)!,40
Venator II (100),Darth Vader (1)!,14
Venator II (100),Engineering Captain (6),18
Venator II (100),Intensify Firepower! (6),8
Venator II (100),Support Officer (4)!,13
Venator II (100),Boarding Engineers (2),5
Venator II (100),Director Isard (3),2
Venator II (100),Instructor Goran (7),3
Venator II (100),Cluster Bombs (5),11
Venator II (100),Commandant Aresko (7),3
Venator II (100),Hardened Bulkheads (5),23
Venator II (100),Lira Wessex (2),15
Venator II (100),Tactical Expert (6),16
Venator II (100),Defense Liaison (3),2
Venator II (100),Admiral Chiraneau (10),7
Venator II (100),Damage Control Officer (3),9
Venator II (100),Director Krennic (8),5
Venator II (100),Shields to Maximum! (6),6
Venator II (100),Navigation Officer (6),7
Venator II (100),Point-Defense Reroute (5),4
Venator II (100),Commander Beck (3),4
Venator II (100),The Grand Inquisitor (4),3
Venator II (100),Dual Turbolaser Turrets (4),3
Venator II (100),Support Officer (2),3
Venator II (100),Heavy Fire Zone (2),5
Venator II (100),Take Evasive Action! (6),1
Gladiator I (56),Minister Tua (2),237
Gladiator I (56),Ordnance Experts (4),5493
Gladiator I (56),Engine Techs (8),2196
Gladiator I (56),Rapid Reload (4),41
Gladiator I (56),Demolisher (10),4657
Gladiator I (56),Electronic Countermeasures (7),173
Gladiator I (56),Hondo Ohnaka (2),215
Gladiator I (56),External Racks (4),2781
Gladiator I (56),Governor Pryce (6),16
Gladiator I (56),Expanded Launchers (8),97
Gladiator I (56),Insidious (3),344
Gladiator I (56),Commander Beck (3),163
Gladiator I (56),Projection Experts (6),439
Gladiator I (56),Wulff Yularen (7),30
Gladiator I (56),Assault Concussion Missiles (5),735
Gladiator I (56),Admiral Montferrat (5),637
Gladiator I (56),Assault Proton Torpedoes (4),1897
Gladiator I (56),Iden Versio (6),553
Gladiator I (56),Captain Brunson (9),140
Gladiator I (56),Intel Officer (7),282
Gladiator I (56),Auxiliary Shields Team (3),421
Gladiator I (56),Tactical Expert (6),15
Gladiator I (56),Admiral Ozzel (20),66
Gladiator I (56),Seventh Fleet Star Destroyer (5),561
Gladiator I (56),Medical Team (1),94
Gladiator I (56),Expert Shield Tech (5),25
Gladiator I (56),Engineering Team (3),8
Gladiator I (56),Emperor Palpatine (3),454
Gladiator I (56),Admiral Ozzel (2),181
Gladiator I (56),The Grand Inquisitor (4),32
Gladiator I (56),Skilled First Officer (1),579
Gladiator I (56),Fighter Coordination Team (3),198
Gladiator I (56),Veteran Captain (2),9
Gladiator I (56),Local Fire Control (4),21
Gladiator I (56),Governor Pryce (7)!,56
Gladiator I (56),Commander Vanto (7),30
Gladiator I (56),Taskmaster Grint (5),38
Gladiator I (56),Reeva Demesne (4),84
Gladiator I (56),Nav Team (4),82
Gladiator I (56),Agent Kallus (3),26
Gladiator I (56),Expanded Launchers (13)!,237
Gladiator I (56),Advanced Projectors (6),8
Gladiator I (56),Weapons Battery Techs (4),1
Gladiator I (56),Rapid Reload (8)!,107
Gladiator I (56),Instructor Goran (7),11
Gladiator I (56),Admiral Titus (2),108
Gladiator I (56),Veteran Gunners (5),36
Gladiator I (56),Wide-Area Barrage (2),130
Gladiator I (56),Flechette Torpedoes (3),7
Gladiator I (56),Gunnery Chief Varnillian (6),12
Gladiator I (56),Darth Vader (1)!,85
Gladiator I (56),Ruthless Strategists (4),49
Gladiator I (56),Commandant Aresko (7),12
Gladiator I (56),Commander Gherant (2),8
Gladiator I (56),Gunnery Team (7),30
Gladiator I (56),Chart Officer (2),28
Gladiator I (56),Commander Woldar (4),37
Gladiator I (56),Lira Wessex (2),6
Gladiator I (56),Navigation Officer (6),7
Gladiator I (56),Redundant Shields (8),7
Gladiator I (56),Reinforced Blast Doors (5),38
Gladiator I (56),Engineering Team (5)!,27
Gladiator I (56),Reactive Gunnery (4),5
Gladiator I (56),Weapons Battery Techs (5)!,4
Gladiator I (56),Fire-Control Team (2),28
Gladiator I (56),Sensor Team (5),7
Gladiator I (56),Flight Controllers (6),4
Gladiator I (56),Director Krennic (8),1
Gladiator I (56),Admiral Chiraneau (10),5
Gladiator I (56),Darth Vader (4),7
Gladiator I (56),Captain Needa (2),5
Gladiator I (56),Early Warning System (7),4
Gladiator I (56),Weapons Liaison (3),4
Gladiator I (56),Cluster Bombs (5),2
Gladiator I (56),General Romodi (20)!,1
Gladiator I (56),Director Isard (3),1
Gladiator I (56),Veteran Captain (3)!,8
Gladiator I (56),Flight Commander (3),1
