faction,squadron_name,total_count
Separatist,Vulture Droid Fighter Squadron (32),6348
Separatist,DIS-T81 (17),2358
Separatist,Phlac-Arphocc Prototypes (18),335
Separatist,Vulture Droid Fighter Squadron (24),2499
Separatist,Haor Chall Prototypes (16),472
Separatist,Droid Tri-fighter Squadron (22),1550
Separatist,Wat Tambor (18),1349
Separatist,Droid Tri-fighter Squadron (66),444
Separatist,Jango Fett (22),383
Separatist,DFS-311 (16),166
Separatist,Hyena Droid Bomber Squadron (33),2466
Separatist,Hyena Droid Bomber Squadron (44),3568
Separatist,Vulture Droid Fighter Squadron (16),1762
Separatist,General Grievous (22),820
Separatist,Belbullab-22 Starfighter Squadron (15),137
Separatist,DBS-404 (17),1182
Separatist,Vulture Droid Fighter Squadron (40),3185
Separatist,Vulture Droid Fighter Squadron (8),308
Separatist,Droid Tri-fighter Squadron (33),1512
Separatist,Vulture Droid Fighter Squadron (72),315
Separatist,Hyena Droid Bomber Squadron (22),1330
Separatist,Vulture Droid Fighter Squadron (64),1304
Separatist,Vulture Droid Fighter Squadron (48),4848
Separatist,Hyena Droid Bomber Squadron (55),1350
Separatist,Baktoid Prototype (16),556
Separatist,Vulture Droid Fighter Squadron (56),931
Separatist,Droid Tri-fighter Squadron (55),445
Separatist,Droid Tri-fighter Squadron (11),420
Separatist,Hyena Droid Bomber Squadron (66),744
Separatist,Belbullab-22 Starfighter Squadron (45),51
Separatist,Phlac-Arphocc Prototypes (19)!,2004
Separatist,DFS-311 (18)!,612
Separatist,Vulture Droid Fighter Squadron (80),300
Separatist,Hyena Droid Bomber Squadron (11),187
Separatist,Vulture Droid Fighter Squadron (96),132
Separatist,Hyena Droid Bomber Squadron (110),130
Separatist,Droid Tri-fighter Squadron (88),128
Separatist,Belbullab-22 Starfighter Squadron (30),140
Separatist,Wat Tambor (20)!,348
Separatist,Vulture Droid Fighter Squadron (128),272
Separatist,Belbullab-22 Starfighter Squadron (60),20
Separatist,Droid Tri-fighter Squadron (77),91
Separatist,Belbullab-22 Starfighter Squadron (105),14
Separatist,Vulture Droid Fighter Squadron (88),99
Separatist,Vulture Droid Fighter Squadron (120),60
Separatist,Hyena Droid Bomber Squadron (88),96
Separatist,Hyena Droid Bomber Squadron (77),168
Separatist,Hyena Droid Bomber Squadron (132),36
Separatist,Droid Tri-fighter Squadron (132),24
Separatist,Vulture Droid Fighter Squadron (112),42
Separatist,Droid Tri-fighter Squadron (99),45
Separatist,Belbullab-22 Starfighter Squadron (120),8
Separatist,Hyena Droid Bomber Squadron (220),20
Separatist,Droid Tri-fighter Squadron (110),10
Separatist,Hyena Droid Bomber Squadron (99),9
Separatist,Vulture Droid Fighter Squadron (104),13
Imperial,Darth Vader (TIE Defender) (25),5302
Imperial,Boba Fett (24),195
Imperial,Maarek Stele (21),6495
Imperial,Ciena Ree (17),3444
Imperial,Colonel Jendon (23),547
Imperial,TIE Advanced Squadron (36),357
Imperial,TIE Fighter Squadron (16),2876
Imperial,Howlrunner (16),3875
Imperial,Saber Squadron (12),3200
Imperial,TIE Fighter Squadron (8),943
Imperial,Tel Trevura (17),3104
Imperial,TIE Fighter Squadron (24),2823
Imperial,TIE Defender Squadron (80),260
Imperial,Vult Skerris (18),1007
Imperial,Soontir Fel (18),1946
Imperial,Dengar (20),1197
Imperial,Valen Rudor (13),3403
Imperial,TIE Interceptor Squadron (22),4092
Imperial,TIE Defender Squadron (64),900
Imperial,Darth Vader (TIE Advanced) (21),447
Imperial,TIE Interceptor Squadron (11),1162
Imperial,VT-49 Decimator (22),347
Imperial,Firespray-31 (72),556
Imperial,Morna Kee (27),1119
Imperial,Mauler Mithel (15),3496
Imperial,TIE Interceptor Squadron (33),3444
Imperial,TIE Fighter Squadron (48),2778
Imperial,Bossk (23),979
Imperial,IG-88 (19),75
Imperial,JumpMaster 5000 (12),134
Imperial,TIE Bomber Squadron (9),344
Imperial,TIE Bomber Squadron (18),1394
Imperial,Tempest Squadron (13),1346
Imperial,TIE Interceptor Squadron (44),3520
Imperial,Lambda Shuttle (15),570
Imperial,Hondo Ohnaka (24),1025
Imperial,Firespray-31 (36),1514
Imperial,Captain Jonus (16),1477
Imperial,Moralo Eval (22),392
Imperial,Lambda Shuttle (30),816
Imperial,TIE Fighter Squadron (32),5192
Imperial,Firespray-31 (18),584
Imperial,Major Rhymer (16),821
Imperial,VT-49 Decimator (44),730
Imperial,Black Squadron (9),2198
Imperial,TIE Bomber Squadron (27),1317
Imperial,Gamma Squadron (10),688
Imperial,TIE Defender Squadron (16),612
Imperial,VT-49 Decimator (88),568
Imperial,Zertik Strom (15),713
Imperial,TIE Fighter Squadron (64),1488
Imperial,TIE Advanced Squadron (12),547
Imperial,TIE Phantom Squadron (28),336
Imperial,TIE Fighter Squadron (40),3125
Imperial,TIE Defender Squadron (32),1680
Imperial,TIE Advanced Squadron (24),866
Imperial,TIE Interceptor Squadron (66),564
Imperial,Boba Fett (26)!,918
Imperial,TIE Bomber Squadron (45),910
Imperial,TIE Defender Squadron (96),192
Imperial,TIE Bomber Squadron (36),1632
Imperial,Mandalorian Gauntlet Fighter (36),30
Imperial,Gar Saxon (20),30
Imperial,IG-88B (19),74
Imperial,TIE Fighter Squadron (56),1022
Imperial,Aggressor Assault Fighter (15),13
Imperial,TIE Fighter Squadron (96),336
Imperial,Firespray-31 (54),591
Imperial,Mandalorian Gauntlet Fighter (18),13
Imperial,TIE Interceptor Squadron (55),735
Imperial,Aggressor Assault Fighter (60),56
Imperial,Aggressor Assault Fighter (30),44
Imperial,TIE Fighter Squadron (128),240
Imperial,YV-666 (30),56
Imperial,VT-49 Decimator (66),438
Imperial,Aggressor Assault Fighter (75),10
Imperial,Whisper (18),46
Imperial,TIE Defender Squadron (48),927
Imperial,TIE Advanced Squadron (60),35
Imperial,IG-88 (21)!,405
Imperial,Lambda Shuttle (60),180
Imperial,Aggressor Assault Fighter (90),18
Imperial,TIE Phantom Squadron (112),56
Imperial,Colonel Jendon (20)!,5332
Imperial,TIE Defender Squadron (112),133
Imperial,Aggressor Assault Fighter (45),24
Imperial,TIE Phantom Squadron (42),252
Imperial,TIE Bomber Squadron (72),264
Imperial,TIE Interceptor Squadron (99),63
Imperial,TIE Phantom Squadron (56),324
Imperial,TIE Fighter Squadron (88),242
Imperial,TIE Fighter Squadron (104),156
Imperial,TIE Defender Squadron (128),48
Imperial,Firespray-31 (90),345
Imperial,Lambda Shuttle (45),390
Imperial,TIE Bomber Squadron (54),768
Imperial,Firespray-31 (108),306
Imperial,Aggressor Assault Fighter (32)!,144
Imperial,TIE Phantom Squadron (14),135
Imperial,IG-88B (21)!,410
Imperial,TIE Advanced Squadron (48),224
Imperial,TIE Bomber Squadron (117),78
Imperial,Mandalorian Gauntlet Fighter (80)!,36
Imperial,TIE Advanced Squadron (96),24
Imperial,Mandalorian Gauntlet Fighter (40)!,230
Imperial,TIE Advanced Squadron (72),42
Imperial,Mandalorian Gauntlet Fighter (20)!,137
Imperial,Whisper (20)!,218
Imperial,YV-666 (15),45
Imperial,TIE Interceptor Squadron (77),196
Imperial,VT-49 Decimator (132),390
Imperial,TIE Phantom Squadron (70),95
Imperial,TIE Fighter Squadron (72),414
Imperial,TIE Bomber Squadron (108),24
Imperial,Mandalorian Gauntlet Fighter (72),12
Imperial,Aggressor Assault Fighter (16)!,73
Imperial,TIE Fighter Squadron (80),770
Imperial,VT-49 Decimator (110),195
Imperial,Aggressor Assault Fighter (64)!,68
Imperial,Gar Saxon (23)!,176
Imperial,TIE Bomber Squadron (63),287
Imperial,TIE Bomber Squadron (81),90
Imperial,Aggressor Assault Fighter (48)!,48
Imperial,TIE Bomber Squadron (90),220
Imperial,TIE Fighter Squadron (112),168
Imperial,JumpMaster 5000 (24),38
Imperial,Lambda Shuttle (75),45
Imperial,Mandalorian Gauntlet Fighter (100)!,10
Imperial,TIE Bomber Squadron (126),56
Imperial,Mandalorian Gauntlet Fighter (160)!,8
Imperial,TIE Interceptor Squadron (132),24
Imperial,Mandalorian Gauntlet Fighter (200)!,20
Imperial,TIE Phantom Squadron (98),63
Imperial,Lambda Shuttle (90),24
Imperial,Mandalorian Gauntlet Fighter (120)!,24
Imperial,TIE Fighter Squadron (120),135
Imperial,YV-666 (60),24
Imperial,TIE Interceptor Squadron (88),128
Imperial,Aggressor Assault Fighter (112)!,21
Imperial,Mandalorian Gauntlet Fighter (60)!,45
Imperial,Aggressor Assault Fighter (96)!,18
Imperial,Darth Vader (25),27
Imperial,Firespray-31 (126),42
Imperial,Darth Vader (21),15
Imperial,TIE Phantom Squadron (84),78
Imperial,Aggressor Assault Fighter (80)!,25
Imperial,YV-666 (75),10
Imperial,TIE Bomber Squadron (99),33
Imperial,YV-666 (45),15
Imperial,YV-666 (105),14
Imperial,Mandalorian Gauntlet Fighter (54),15
Imperial,TIE Interceptor Squadron (110),10
Imperial,TIE Defender Squadron (352),22
Imperial,TIE Advanced Squadron (108),9
Imperial,Mandalorian Gauntlet Fighter (180)!,9
Imperial,JumpMaster 5000 (60),5
Imperial,YV-666 (90),12
Republic,Anakin Skywalker (Delta-7) (24),4738
Republic,Axe (17),4381
Republic,V-19 Torrent Squadron (24),2676
Republic,Anakin Skywalker (BTL-B) (18),87
Republic,Matchstick (16),512
Republic,ARC-170 Starfighter Squadron (45),1962
Republic,ARC-170 Starfighter Squadron (30),1528
Republic,BTL-B Y-wing Squadron (30),1713
Republic,V-19 Torrent Squadron (48),2468
Republic,Kickback (16),2453
Republic,Odd Ball (20),49
Republic,Ahsoka Tano (23),2992
Republic,Plo Koon (24),772
Republic,BTL-B Y-wing Squadron (40),2720
Republic,Luminara Unduli (23),779
Republic,ARC-170 Starfighter Squadron (60),3504
Republic,BTL-B Y-wing Squadron (10),552
Republic,Kit Fisto (24),50
Republic,V-19 Torrent Squadron (36),2751
Republic,V-19 Torrent Squadron (72),576
Republic,BTL-B Y-wing Squadron (20),1572
Republic,V-19 Torrent Squadron (12),786
Republic,Delta-7 Aethersprite Squadron (17),673
Republic,ARC-170 Starfighter Squadron (120),376
Republic,BTL-B Y-wing Squadron (50),2425
Republic,BTL-B Y-wing Squadron (70),1414
Republic,ARC-170 Starfighter Squadron (75),1345
Republic,Delta-7 Aethersprite Squadron (34),562
Republic,V-19 Torrent Squadron (96),96
Republic,ARC-170 Starfighter Squadron (105),266
Republic,ARC-170 Starfighter Squadron (15),241
Republic,ARC-170 Starfighter Squadron (90),780
Republic,Delta-7 Aethersprite Squadron (51),231
Republic,BTL-B Y-wing Squadron (60),2838
Republic,Kit Fisto (26),7
Republic,V-19 Torrent Squadron (60),880
Republic,BTL-B Y-wing Squadron (80),568
Republic,BTL-B Y-wing Squadron (100),180
Republic,Odd Ball (23)!,347
Republic,Anakin Skywalker (BTL-B) (19)!,804
Republic,Kit Fisto (26)!,348
Republic,BTL-B Y-wing Squadron (90),207
Republic,V-19 Torrent Squadron (108),72
Republic,Matchstick (14)!,902
Republic,BTL-B Y-wing Squadron (110),264
Republic,Delta-7 Aethersprite Squadron (68),196
Republic,BTL-B Y-wing Squadron (120),144
Republic,V-19 Torrent Squadron (84),175
Republic,Delta-7 Aethersprite Squadron (119),14
Republic,Anakin Skywalker (19)!,37
Republic,V-19 Torrent Squadron (120),30
Republic,Delta-7 Aethersprite Squadron (85),85
Republic,BTL-B Y-wing Squadron (130),26
Republic,Delta-7 Aethersprite Squadron (102),48
Republic,Delta-7 Aethersprite Squadron (136),8
Republic,Anakin Skywalker (24),12
Republic,V-19 Torrent Squadron (228),19
